Løpende nr,Lagring boksnr-plassnr,Lagring plassnr,PrøveID-(eksternt)-eller-PJS-nummer-(VI-internt),Andre nummer,Bakterie art/stamme,Art (vert),Prosjekt,Prioritert? (Ja/Nei),BESTILLER (epost for svar),"Skal DNA ekstraheres 
(Ja/Nei)",DNA ekstraksjon startdato,"Nanodrop, ng/µL",A260/A280,A260/A230 (2.0-2.2),"Qubit,  ng/µL","DNA ekstraksjon/måling,
link","Library Prep, startdato link (LPååååmmddINITIALER)","MS/NS run # 
link",Dato sekvensert 1.gang,Kommentarer,Faktura,Dato sekvensert 2.gang,Kommentarer 2,DNA ekstrakt kastet (dato) eller sendt,Unnamed: 25,Qubit (gammel)
2587,Plate i frys,,2021-80-48-3-2,D2,Streptococcus,,Streptokokken,,"Lars, Hannah, Marit Smistad",nei,,363.3,2.1,1.7,7.7,,LP20210118WHS,NS5,1/18/2022,,01/22/CAB,,,,,
2588,Plate i frys,,2021-04-p233-2-lam1,E2,Streptococcus,,Streptokokken,,"Lars, Hannah, Marit Smistad",nei,,749.8,2.2,1.6,20,,LP20210118WHS,NS5,1/18/2022,,01/22/CAB,,,,,
2589,Plate i frys,,2021-04-p233-3-lam2,F2,Streptococcus,,Streptokokken,,"Lars, Hannah, Marit Smistad",nei,,815.1,2.1,1.4,26.8,,LP20210118WHS,NS5,1/18/2022,,01/22/CAB,,,,,
2590,Plate i frys,,2021-04-p233-4-lam1,G2,Streptococcus,,Streptokokken,,"Lars, Hannah, Marit Smistad",nei,,655.2,2.2,1.8,12.8,,LP20210118WHS,NS5,1/18/2022,,01/22/CAB,,,,,
2591,Plate i frys,,2021-04-p233-10-lam1,H2,Streptococcus,,Streptokokken,,"Lars, Hannah, Marit Smistad",nei,,712.7,2.2,1.9,16.4,,LP20210118WHS,NS5,1/18/2022,,01/22/CAB,,,,,
2592,14-57,,2019-01-5137,1,E. coli F4 O149,,EDEC2021,,Erik/Camilla,,1/17/2022,58.6,2.0,1.9,55.7,DNAmål20220119WSG,20220126WHS_Run84,#84,1/26/2022,,04/22-CAB,,,Kastet 29.08.2023,,
2593,14-58,,2019-01-1055-2,2,E. coli O139 + F4 O149,,EDEC2021,,Erik/Camilla,,1/17/2022,66.1,2.0,1.8,61.1,DNAmål20220119WSG,20220126WHS_Run84,#84,1/26/2022,,04/22-CAB,,,Kastet 29.08.2023,,
2594,14-59,,2019-01-1055-4,3,E. coli O139 + F4 O149,,EDEC2021,,Erik/Camilla,,1/17/2022,82.6,2.0,2.1,80.1,DNAmål20220119WSG,20220126WHS_Run84,#84,1/26/2022,,04/22-CAB,,,Kastet 29.08.2023,,
2595,14-60,,2012-60-2316-31,4,Salmonella Typhimurium,,SEQ-TECH-Salmonella,,Camilla,,1/17/2022,115.2,2.0,1.3,65.1,DNAmål20220119WSG,20220126WHS_Run84,#84,1/26/2022,,01/22/CAB,,,Kastet 29.08.2023,,
2596,14-61,,2017-04-43587-K1,5,E.coli,,Discover,,Camilla/Gro,,1/17/2022,103.7,2.0,2,76.9,DNAmål20220119WSG,20220126WHS_Run84,#84,1/26/2022,,01/22/CAB,,,Kastet 29.08.2023,,
2597,14-62,,2021-06-1423-3,6,Salmonella Typhimurium,,SEQ-TECH-Salmonella,,Camilla,,1/17/2022,96.9,2.0,2.1,69.8,DNAmål20220119WSG,20220126WHS_Run84,#84,1/26/2022,,01/22/CAB,,,Kastet 29.08.2023,,
2598,14-63,,2018-01-1983-10,7,Salmonella Typhimurium,,SEQ-TECH-Salmonella,,Camilla,,1/17/2022,105.4,2.1,1.6,59.3,DNAmål20220119WSG,20220126WHS_Run84,#84,1/26/2022,,01/22/CAB,,,Kastet 29.08.2023,,
2599,14-64,,2018-01-3742-8,8,Salmonella Typhimurium,,SEQ-TECH-Salmonella,,Camilla,,1/17/2022,102.2,2.0,2.1,82.5,DNAmål20220119WSG,20220126WHS_Run84,#84,1/26/2022,,01/22/CAB,,,Kastet 29.08.2023,,
2600,14-65,,2022-04-1686-2-2-1-1,1,E.coli,,APEC-kalkun,Ja,Camilla,,,67.2,1.8,2.3,55.8,DNAmål20220125CAB,20220126WHS_Run84,#84,1/26/2022,,04/22-CAB-ekstern,,,Kastet 29.08.2023,,
2601,14-66,,2202-01-221-2,2,Salmonella,,SEQ-TECH-Salmonella,,,,,128.5,1.9,2.4,98,DNAmål20220125CAB,20220126WHS_Run84,#84,,,internfakturert SEQ-TECH 04/22-CAB,,,Kastet 29.08.2023,,
2602,14-67,,2202-01-221-3,3,Salmonella,,SEQ-TECH-Salmonella,,,,,164,1.9,2.1,98.4,DNAmål20220125CAB,20220126WHS_Run84,#84,,,internfakturert SEQ-TECH 04/22-CAB,,,Kastet 29.08.2023,,
2603,14-68,,2202-01-221-4,4,Salmonella,,SEQ-TECH-Salmonella,,,,,155.1,1.8,2.2,156,DNAmål20220125CAB,20220126WHS_Run84,#84,,,internfakturert SEQ-TECH 04/22-CAB,,,Kastet 29.08.2023,,
2604,14-69,,2022-01-226-1,5,Salmonella,,SEQ-TECH-Salmonella,,,,,178.7,1.9,0.7,51.6,DNAmål20220125CAB,20220126WHS_Run84,#84,,,internfakturert SEQ-TECH 04/22-CAB,,,Kastet 29.08.2023,,
2605,14-70,,2022-01-227-1,6,Salmonella,,SEQ-TECH-Salmonella,,Camilla/Bjarne/Jeevan,,,111.9,1.9,1.8,95.6,DNAmål20220125CAB,20220126WHS_Run84,#84,,,internfakturert SEQ-TECH 04/22-CAB,,,Kastet 29.08.2023,,
2606,14-71,,2022-01-252-1-s1,7,E.coli,,Ecoli-sepsis-pilot,,Camilla,,,111,1.8,0.8,76.7,DNAmål20220125CAB,20220126WHS_Run84,#84,1/26/2022,,04/22-CAB,,,Kastet 29.08.2023,,
2607,14-72,,2022-01-252-3-s1,8,E.coli,,Ecoli-sepsis-pilot,,Camilla,,,58.1,1.7,1.4,58.7,DNAmål20220125CAB,20220126WHS_Run84,#84,1/26/2022,,04/22-CAB,,,Kastet 29.08.2023,,
2608,14-73,,2022-01-252-9-s1,9,E.coli,,Ecoli-sepsis-pilot,,Camilla,,,51.9,1.8,2,44.8,DNAmål20220125CAB,20220126WHS_Run84,#84,1/26/2022,,04/22-CAB,,,Kastet 29.08.2023,,
2609,14-74,,2022-01-385-1,1,Salmonella ,,Salmonella-overvaakning-NRL,ja,Bjarne ,ja,2/15/2022,132.6,1.8,1.8,122,DNAmål20220216WSG,,#89,2/17/2022,,04/22-CAB,,,Kastet 29.08.2023,,
2610,14-75,,2022-01-386-1-1-2-1,2,E.coli_ESBL/AmpC,kalkun,42015_NORM-VET,,Jannice,ja,2/15/2022,90.4,1.8,1.6,63.2,DNAmål20220216WSG,,NS#6,,,04/22-CAB,3/8/2022,,Kastet 29.08.2023,,
2611,14-76,,2022-01-411-5,3,Salmonella,,Salmonella-overvaakning-NRL,,Bjarne ,ja,2/15/2022,164.7,1.8,1.1,134,DNAmål20220216WSG,,"#89, #NS6",2/17/2022,,04/22-CAB,3/8/2022,,Kastet 29.08.2023,,
2612,14-77,,2022-01-480-1-1-1-1,4,ESBL,Miljøprøve,23011_Animalia,ja,Jannice,ja,2/15/2022,75.8,1.8,1.7,62.8,DNAmål20220216WSG,,#89,2/17/2022,,04/22-CAB,,,Kastet 29.08.2023,,
2613,14-78,,2022-01-314-1-s1,1,E.coli,,Ecoli-sepsis-pilot,,Camilla Sekse,,31/01/2022,56.7,1.9,1.7,48,DNAmål20220203CAB,,NS#6,3/8/2022,,04/22-CAB,,,Kastet 29.08.2023,,
2614,14-79,,2022-01-314-8-s1,2,E.coli,,Ecoli-sepsis-pilot,,Camilla Sekse,,31/01/2022,61.2,1.8,1.5,50,DNAmål20220203CAB,,NS#6,3/8/2022,,04/22-CAB,,,Kastet 29.08.2023,,
2615,14-80,,2022-01-314-10-s1,3,E.coli,,Ecoli-sepsis-pilot,,Camilla Sekse,,31/01/2022,88.3,1.7,0.9,50.5,DNAmål20220203CAB,,NS#6,3/8/2022,,04/22-CAB,,,Kastet 29.08.2023,,
2616,14-81,,2022-01-412-2-1,1,APEC,,APEC-Nortura,,Camilla,,2/22/2022,135.7,1.8,1.7,151,DNAmål20220224WHS,,NS#6,3/8/2022,,04/22-CAB-ekstern,,,Kastet 29.08.2023,,
2617,15-01,,2022-01-497-1-1-2-1,2,E.coli_ESBL/AmpC,,42015_NORM-VET,,jannice,,2/22/2022,64.8,1.6,0.8,48,DNAmål20220224WHS,,NS#6,3/8/2022,,04/22-CAB,,,Kastet 29.08.2023,,
2618,15-02,,2022-01-498-1,3,Salmonella typhimurium,,Salmonella-overvaakning-NRL,,"Camilla, Bjarne",,2/22/2022,88.1,1.8,1.6,86.4,DNAmål20220224WHS,,NS#6,3/8/2022,,04/22-CAB,,,Kastet 29.08.2023,,
2619,15-03,,2022-01-602-1,1,Salmonella Dublin,"Storfe, kjøttdeig",Salmonella-overvaakning-NRL,,Bjarne/Camilla,ja,2/28/2022,134.6,2.1,1.8,14.5,,,NS#6,3/8/2022,,04/22-CAB,,,Kastet 29.08.2023,,
2620,15-04,,2013-01-1915-1-1-2-1,2,E.coli_ESBL/AmpC,"Kalkun, friske, NORM-VET",42015_NORM-VET,,jannice,ja,2/28/2022,57.9,1.9,1.1,16.9,,,NS#6,3/8/2022,,04/22-CAB,,,Kastet 29.08.2023,,
2621,15-05,,2013-01-2702-1-1-2-1,3,E.coli_ESBL/AmpC,"Kalkun, næringsmidler, NORM-VET",42015_NORM-VET,,jannice,ja,2/28/2022,33.7,1.8,1.7,34.4,,,NS#6,3/8/2022,,04/22-CAB,,,Kastet 29.08.2023,,
2622,15-06,,2013-01-2703-1-1-2-1,4,E.coli_ESBL/AmpC,"Kalkun, næringsmidler, NORM-VET",42015_NORM-VET,,jannice,ja,2/28/2022,30.2,1.8,2,30.1,,,NS#6,3/8/2022,,04/22-CAB,,,Kastet 29.08.2023,,
2623,15-07,,2013-01-3476-1-1-2-1,5,E.coli_ESBL/AmpC,"Kalkun, næringsmidler, NORM-VET",42015_NORM-VET,,jannice,ja,2/28/2022,38.1,1.9,1.7,23.3,,,NS#6,3/8/2022,,04/22-CAB,,,Kastet 29.08.2023,,
2624,15-08,,2013-01-6169-1-1-2-1,7,E.coli_ESBL/AmpC,"Hund, friske, NORM-VET",42015_NORM-VET,,jannice,ja,2/28/2022,76.6,1.7,1,48,,,NS#6,3/8/2022,,04/22-CAB,,,Kastet 29.08.2023,,
2625,15-09,,2013-01-6377-1-1-2-1,8,E.coli_ESBL/AmpC,"Kalkun, næringsmidler, NORM-VET",42015_NORM-VET,,jannice,ja,2/28/2022,62.1,1.8,1.8,74.3,,,NS#6,3/8/2022,,04/22-CAB,,,Kastet 29.08.2023,,
2626,15-10,,2013-01-7002-1-1-2-1,9,E.coli_ESBL/AmpC,"Hund, friske, NORM-VET",42015_NORM-VET,,jannice,ja,2/28/2022,44.8,1.8,1.8,43.3,,,NS#6,3/8/2022,,04/22-CAB,,,Kastet 29.08.2023,,
2627,15-11,,2013-01-7007-1-1-2-1,10,E.coli_ESBL/AmpC,"Hund, friske, NORM-VET",42015_NORM-VET,,jannice,ja,2/28/2022,44.4,1.9,1.8,45,,,NS#6,3/8/2022,,04/22-CAB,,,Kastet 29.08.2023,,
2628,15-12,,2013-01-7586-1-1-2-1,11,E.coli_ESBL/AmpC,"Hund, friske, NORM-VET",42015_NORM-VET,,jannice,ja,2/28/2022,14.4,1.9,1.2,16.2,,,NS#6,3/8/2022,,04/22-CAB,,,Kastet 29.08.2023,,
2629,15-13,,2015-01-2096-1-1-2-1,12,E.coli_ESBL/AmpC,"Svin, blindtarmsinnhold, NORM-VET",42015_NORM-VET,,jannice,ja,2/28/2022,53.8,1.9,2.1,58,,,NS#6,3/8/2022,,04/22-CAB,,,Kastet 29.08.2023,,
2630,15-14,,2015-22-380-1-1-1-1,13,E.coli_ESBL/AmpC,"Storfe, næringsmidler, NORM-VET",42015_NORM-VET,,jannice,ja,2/28/2022,71.9,1.9,1.6,82.7,,,NS#6,3/8/2022,,04/22-CAB,,,Kastet 29.08.2023,,
2631,15-15,,2015-60-4912-1-1-1-1,15,E.coli,"Hund, rutine",42015_NORM-VET,,jannice,ja,2/28/2022,31,1.7,0.8,27.6,,,NS#6,3/8/2022,,04/22-CAB,,,Kastet 29.08.2023,,
2632,15-16,,2015-01-4290-1-1-2-1,16,E.coli_ESBL/AmpC,"Svin, blindtarmsinnhold, NORM-VET",42015_NORM-VET,,jannice,ja,2/28/2022,50.8,1.8,0.9,34.1,,,NS#6,3/8/2022,,04/22-CAB,,,Kastet 29.08.2023,,
2633,15-17,,2015-01-4788-1-1-2-1,17,E.coli_ESBL/AmpC,"Svin, blindtarmsinnhold, NORM-VET",42015_NORM-VET,,jannice,ja,2/28/2022,64.1,1.9,1.8,74.2,,,NS#6,3/8/2022,,04/22-CAB,,,Kastet 29.08.2023,,
2634,15-18,,2015-01-4789-1-1-2-1,18,E.coli_ESBL/AmpC,"Svin, blindtarmsinnhold, NORM-VET",42015_NORM-VET,,jannice,ja,2/28/2022,130.6,1.8,1.6,126,,,NS#6,3/8/2022,,04/22-CAB,,,Kastet 29.08.2023,,
2635,15-19,,2015-01-4798-1-1-2-1,9,E.coli_ESBL/AmpC,"Svin, blindtarmsinnhold, NORM-VET",42015_NORM-VET,,jannice,ja,3/1/2022,20.9,1.8,1.3,31.2,,,NS#6,3/8/2022,,04/22-CAB,,,Kastet 29.08.2023,,
2636,15-20,,2022-22-111-1,VI62761,Listeria monocytogenes,12100-114-Utbrudd,12100-114-Utbrudd,,"tone.mathisen-fagereng@vetinst.no; taran.skjerdal@vetinst.no
",Nei,3/3/2022,32.9,1.89,1.91,27.4,,,NS#6,3/8/2022,,04/22-CAB,,,Kastet 29.08.2023,,
2637,15-21,,2022-22-111-2,VI62762,Listeria monocytogenes,12100-114-Utbrudd,12100-114-Utbrudd,,"tone.mathisen-fagereng@vetinst.no; taran.skjerdal@vetinst.no
",Nei,3/3/2022,25.3,1.86,1.92,20.6,,,NS#6,3/8/2022,,04/22-CAB,,,Kastet 29.08.2023,,
2638,15-22,,2022-01-682-1,1,Salmonella Dublin,,Salmonella-overvaakning-NRL,Ja,Bjarne/Camilla,,7/3/2022,13.5,2.1,2.1,10.67,DNAmål20220307CAB,,NS#6,3/8/2022,,04/22-CAB,,,Kastet 29.08.2023,,
2639,15-23,,2022-01-673-1,2,Salmonella Typhimurium,,Salmonella-overvaakning-NRL,Ja,Bjarne/Camilla,,7/3/2022,17.6,2.0,3.4,20.93,DNAmål20220307CAB,,NS#6,3/8/2022,,04/22-CAB,,,Kastet 29.08.2023,,
2640,15-24,,2022-01-668-1,3,Salmonella Typhimurium,,Salmonella-overvaakning-NRL,Ja,Bjarne/Camilla,,7/3/2022,58.8,1.9,2.4,80.8,DNAmål20220307CAB,,NS#6,3/8/2022,,04/22-CAB,,,Kastet 29.08.2023,,
2641,15-25,,2013-01-4886-1-1-2-1,4,E.coli_ESBL/AmpC,,42015_NORM-VET,nei,jannice,,7/3/2022,24.1,1.9,1.9,39.36,DNAmål20220307CAB,,NS#6,3/8/2022,,04/22-CAB,,,Kastet 29.08.2023,,
2642,15-26,,2015-01-3295-1-1-2-1,5,E.coli_ESBL/AmpC,,42015_NORM-VET,nei,jannice,,7/3/2022,28.3,1.9,1.4,38.07,DNAmål20220307CAB,,NS#6,3/8/2022,,04/22-CAB,,,Kastet 29.08.2023,,
2643,15-27,,2015-01-4790-1-1-2-1,6,E.coli_ESBL/AmpC,,42015_NORM-VET,nei,jannice,,7/3/2022,124.5,2.0,2.5,114.87,DNAmål20220307CAB,,NS#6,3/8/2022,,04/22-CAB,,,Kastet 29.08.2023,,
2644,15-28,,2015-01-4791-1-1-2-1,7,E.coli_ESBL/AmpC,,42015_NORM-VET,nei,jannice,,7/3/2022,63.5,1.9,2.4,96.26,DNAmål20220307CAB,,NS#6,3/8/2022,,04/22-CAB,,,Kastet 29.08.2023,,
2645,15-29,,2015-01-4792-1-1-2-1,8,E.coli_ESBL/AmpC,,42015_NORM-VET,nei,jannice,,7/3/2022,117.7,1.9,2.3,92.3,DNAmål20220307CAB,,NS#6,3/8/2022,,04/22-CAB,,,Kastet 29.08.2023,,
2646,15-30,,2015-01-4793-1-1-2-1,9,E.coli_ESBL/AmpC,,42015_NORM-VET,nei,jannice,,7/3/2022,149.7,1.9,2.3,114.82,DNAmål20220307CAB,,NS#6,3/8/2022,,04/22-CAB,,,Kastet 29.08.2023,,
2647,15-31,,2015-01-4794-1-1-2-1,10,E.coli_ESBL/AmpC,,42015_NORM-VET,nei,jannice,,7/3/2022,44.3,1.9,2.2,56.71,DNAmål20220307CAB,,NS#6,3/8/2022,,04/22-CAB,,,Kastet 29.08.2023,,
2648,15-32,,2015-01-4795-1-1-2-1,11,E.coli_ESBL/AmpC,,42015_NORM-VET,nei,jannice,,7/3/2022,85.8,1.9,2.1,80.2,DNAmål20220307CAB,,NS#6,3/8/2022,,04/22-CAB,,,Kastet 29.08.2023,,
2649,15-33,,2015-01-4796-1-1-2-1,12,E.coli_ESBL/AmpC,,42015_NORM-VET,nei,jannice,,7/3/2022,119.1,1.9,2.4,114.58,DNAmål20220307CAB,,NS#6,3/8/2022,,04/22-CAB,,,Kastet 29.08.2023,,
2650,15-34,,2015-01-4797-1-1-2-1,13,E.coli_ESBL/AmpC,,42015_NORM-VET,nei,jannice,,7/3/2022,54.2,1.9,2.5,86.92,DNAmål20220307CAB,,NS#6,3/8/2022,,04/22-CAB,,,Kastet 29.08.2023,,
2651,15-35,,2015-01-4799-1-1-2-1,14,E.coli_ESBL/AmpC,,42015_NORM-VET,nei,jannice,,7/3/2022,112.3,1.9,2.2,102.35,DNAmål20220307CAB,,NS#6,3/8/2022,,04/22-CAB,,,Kastet 29.08.2023,,
2652,15-36,,2015-22-898-1-1-1-1,15,E.coli_ESBL/AmpC,,42015_NORM-VET,nei,jannice,,7/3/2022,123.7,1.9,1.8,88.99,DNAmål20220307CAB,,NS#6,3/8/2022,,04/22-CAB,,,Kastet 29.08.2023,,
2653,15-37,,2017-01-422-3-1-1-1,16,E.coli_ESBL/AmpC,,42015_NORM-VET,nei,jannice,,7/3/2022,70.6,1.9,2.1,63.44,DNAmål20220307CAB,,NS#6,3/8/2022,,04/22-CAB,,,Kastet 29.08.2023,,
2654,15-38,,2017-01-446-3-1-1-1-1,17,E.coli_ESBL/AmpC,,42015_NORM-VET,nei,jannice,,7/3/2022,84.9,1.9,2.2,88.85,DNAmål20220307CAB,,NS#6,3/8/2022,,04/22-CAB,,,Kastet 29.08.2023,,
2655,15-39,,2017-01-451-3-1-1-1-1,18,E.coli_ESBL/AmpC,,42015_NORM-VET,nei,jannice,,7/3/2022,121,1.9,2.2,108.42,DNAmål20220307CAB,,NS#6,3/8/2022,,04/22-CAB,,,Kastet 29.08.2023,,
2656,15-40,,2017-01-452-3-1-1-1-1,19,E.coli_ESBL/AmpC,,42015_NORM-VET,nei,jannice,,7/3/2022,163.3,2.0,2.6,103.43,DNAmål20220307CAB,,NS#6,3/8/2022,,04/22-CAB,,,Kastet 29.08.2023,,
2657,15-41,,2017-01-545-1-1-2-1,20,E.coli_ESBL/AmpC,,42015_NORM-VET,nei,jannice,,7/3/2022,95.9,1.9,2.5,97.04,DNAmål20220307CAB,,NS#6,3/8/2022,,04/22-CAB,,,Kastet 29.08.2023,,
2658,15-42,,2017-01-556-1-1-2-1,21,E.coli_ESBL/AmpC,,42015_NORM-VET,nei,jannice,,7/3/2022,80.1,1.9,2.4,84.49,DNAmål20220307CAB,,NS#6,3/8/2022,,04/22-CAB,,,Kastet 29.08.2023,,
2659,15-43,,2017-01-654-3-1-1-1,22,E.coli_ESBL/AmpC,,42015_NORM-VET,nei,jannice,,7/3/2022,133.2,1.9,2.2,99.52,DNAmål20220307CAB,,NS#6,3/8/2022,,04/22-CAB,,,Kastet 29.08.2023,,
2660,15-44,,2017-01-729-1-1-2-1,23,E.coli_ESBL/AmpC,,42015_NORM-VET,nei,jannice,,7/3/2022,41.6,1.9,3,52.4,DNAmål20220307CAB,,NS#6,3/8/2022,,04/22-CAB,,,Kastet 29.08.2023,,
2661,15-45,,2017-01-730-1-1-2-1,24,E.coli_ESBL/AmpC,,42015_NORM-VET,nei,jannice,,7/3/2022,58.2,1.9,2.5,66.84,DNAmål20220307CAB,,NS#6,3/8/2022,,04/22-CAB,,,Kastet 29.08.2023,,
2662,15-46,,2017-01-731-3-1-1-2-1,25,E.coli_ESBL/AmpC,,42015_NORM-VET,nei,jannice,,7/3/2022,40.1,1.9,2,47.48,DNAmål20220307CAB,,NS#6,3/8/2022,,04/22-CAB,,,Kastet 29.08.2023,,
2663,15-47,,2017-01-782-3-1-1-1,26,E.coli_ESBL/AmpC,,42015_NORM-VET,nei,jannice,,7/3/2022,46.4,1.9,2.3,57.44,DNAmål20220307CAB,,NS#6,3/8/2022,,04/22-CAB,,,Kastet 29.08.2023,,
2664,15-48,,2017-01-1317-1-1-1-1,27,E.coli_ESBL/AmpC,,42015_NORM-VET,nei,jannice,,7/3/2022,51.7,1.6,1,47.68,DNAmål20220307CAB,,NS#6,3/8/2022,,04/22-CAB,,,Kastet 29.08.2023,,
2665,15-49,,PT33-1-2022-01-807-1,,Campylobacter,,12160-123_Ringtest,nei,"Solveig, solveig.mo@vetinst.no",nei,,,,,16.5,DNAmål20220310WSG,,"#94, #95",3/25/2022,,04/22-CAB,3/29/2022,,Kastet 29.08.2023,,
2666,15-50,,PT33-2-2022-01-807-2,,Campylobacter,,12160-123_Ringtest,nei,"Solveig, solveig.mo@vetinst.no",nei,,,,,17.7,DNAmål20220310WSG,,"#94, #95",3/25/2022,,04/22-CAB,3/29/2022,,Kastet 29.08.2023,,
2667,15-51,,PT33-3-2022-01-807-3,,Campylobacter,,12160-123_Ringtest,nei,"Solveig, solveig.mo@vetinst.no",nei,,,,,61.4,DNAmål20220310WSG,,"#94, #95",3/25/2022,,04/22-CAB,3/29/2022,,Kastet 29.08.2023,,
2668,15-52,,PT33-4-2022-01-807-4,,Campylobacter,,12160-123_Ringtest,nei,"Solveig, solveig.mo@vetinst.no",nei,,,,,13.7,DNAmål20220310WSG,,"#94, #95",3/25/2022,,04/22-CAB,3/29/2022,,Kastet 29.08.2023,,
2669,15-53,,PT33-5-2022-01-807-5,,Campylobacter,,12160-123_Ringtest,nei,"Solveig, solveig.mo@vetinst.no",nei,,,,,15.6,DNAmål20220310WSG,,"#94, #95",3/25/2022,,04/22-CAB,3/29/2022,,Kastet 29.08.2023,,
2670,15-54,,PT33-6-2022-01-807-6,,Campylobacter,,12160-123_Ringtest,nei,"Solveig, solveig.mo@vetinst.no",nei,,,,,18.5,DNAmål20220310WSG,,"#94, #95",3/25/2022,,04/22-CAB,3/29/2022,,Kastet 29.08.2023,,
2671,15-55,,PT33-7-2022-01-807-7,,Campylobacter,,12160-123_Ringtest,nei,"Solveig, solveig.mo@vetinst.no",nei,,,,,21.2,DNAmål20220310WSG,,"#94, #95",3/25/2022,,04/22-CAB,3/29/2022,,Kastet 29.08.2023,,
2672,15-56,,2022-01-813-2-s1,1,E.coli,,Ecoli-sepsis-pilot,Ja,Camilla,ja,3/14/2022,145.1,2.15,2.14,68.48,DNAmål20220316WSG,,"#94, #95",3/25/2022,,04/22-CAB,3/29/2022,,Kastet 29.08.2023,,
2673,15-57,,2022-01-813-5-s1,2,E.coli,,Ecoli-sepsis-pilot,Ja,Camilla,ja,3/14/2022,84.6,2.26,1.76,31.97,DNAmål20220316WSG,,"#94, #95",3/25/2022,,04/22-CAB,3/29/2022,,Kastet 29.08.2023,,
2674,15-58,,2022-01-813-8-s1,3,E.coli,,Ecoli-sepsis-pilot,Ja,Camilla,ja,3/14/2022,88.2,2.05,1.97,78.4,DNAmål20220316WSG,,#93,3/21/2022,,04/22-CAB,3/21/2022,,Kastet 29.08.2023,,
2675,15-59,,2022-04-6021-2-s1,4,E.coli,,APEC-Nortura,Ja,Camilla,ja,3/14/2022,66.7,2.05,1.67,48.06,DNAmål20220316WSG,,#93,3/21/2022,,04/22-CAB-ekstern,3/21/2022,,Kastet 29.08.2023,,
2676,15-60,,2022-01-776-1,5,Salmonella Infantis,,Salmonella-overvaakning-NRL,Ja,Bjarne/Camilla,ja,3/14/2022,298.8,2.18,1.95,109.43,DNAmål20220316WSG,,#93,3/21/2022,,04/22-CAB,3/21/2022,,Kastet 29.08.2023,,
2677,15-61,,2017-01-2045-1-1-1-1,1,E.coli_ESBL/AmpC,,42015_NORM-VET,nei,jannice,ja,3/14/2022,235,1.96,2.2,222.51,DNAmål20220316WSG,,"#94, #95",3/25/2022,,04/22-CAB,3/29/2022,,Kastet 29.08.2023,,
2678,15-62,,2017-01-1942-1-1-2-1,2,E.coli_ESBL/AmpC,,12010_15D_NRL,nei,jannice,ja,3/14/2022,98.7,1.99,2,111.76,DNAmål20220316WSG,,"#94, #95",3/25/2022,,04/22-CAB,3/29/2022,,Kastet 29.08.2023,,
2679,15-63,,2017-01-2426-1-1-2-1,3,E.coli_ESBL/AmpC,,12010_15D_NRL,nei,jannice,ja,3/14/2022,63.8,1.92,1.67,64.99,DNAmål20220316WSG,,"#94, #95",3/25/2022,,04/22-CAB,3/29/2022,,Kastet 29.08.2023,,
2680,15-64,,2017-01-3387-1-1-1-1,4,E.coli_ESBL/AmpC,,12010_15D_NRL,nei,jannice,ja,3/14/2022,98.4,1.94,1.33,86.9,DNAmål20220316WSG,,"#94, #95",3/25/2022,,04/22-CAB,3/29/2022,,Kastet 29.08.2023,,
2681,15-65,,2017-01-4175-1-1-1-1,5,E.coli_ESBL/AmpC,,12010_15D_NRL,nei,jannice,ja,3/14/2022,117.8,2.08,1.77,63.73,DNAmål20220316WSG,,"#94, #95",3/25/2022,,04/22-CAB,3/29/2022,,Kastet 29.08.2023,,
2682,15-66,,2017-01-4238-1-1-1-1,6,E.coli_ESBL/AmpC,,12010_15D_NRL,nei,jannice,ja,3/14/2022,109.4,1.96,2.07,130.29,DNAmål20220316WSG,,"#94, #95",3/25/2022,,04/22-CAB,3/29/2022,,Kastet 29.08.2023,,
2683,15-67,,2017-04-29588-1-2-2-1,7,E.coli_ESBL/AmpC,,12010_15D_NRL,nei,jannice,ja,3/14/2022,30.4,2.05,1.8,13.58,DNAmål20220316WSG,,"#94, #95",3/25/2022,,04/22-CAB,3/29/2022,,Kastet 29.08.2023,,
2684,15-68,,2017-01-4387-1-1-1-1,8,E.coli_ESBL/AmpC,,12010_15D_NRL,nei,jannice,ja,3/14/2022,27.1,1.99,1.09,31.06,DNAmål20220316WSG,,"#94, #95",3/25/2022,,04/22-CAB,3/29/2022,,Kastet 29.08.2023,,
2685,15-69,,2017-01-5204-1-1-1-1,9,E.coli_ESBL/AmpC,,12010_15D_NRL,nei,jannice,ja,3/14/2022,35.9,1.93,1.04,10.42,DNAmål20220316WSG,,"#94, #95",3/25/2022,,04/22-CAB,3/29/2022,,Kastet 29.08.2023,,
2686,15-70,,2018-01-262-1-1-1-1,10,E.coli_ESBL/AmpC,,12010_15D_NRL,nei,jannice,ja,3/14/2022,96.7,2.0,1.83,89.98,DNAmål20220316WSG,,"#94, #95",3/25/2022,,04/22-CAB,3/29/2022,,Kastet 29.08.2023,,
2687,15-71,,2018-22-11-1-1-1-1,11,E.coli_ESBL/AmpC,,12010_15D_NRL,nei,jannice,ja,3/14/2022,38.8,2.03,1.46,26.05,DNAmål20220316WSG,,"#94, #95",3/25/2022,,04/22-CAB,3/29/2022,,Kastet 29.08.2023,,
